"School Year","Sector","Learning Network","School Level","Enrolled School ID","Enrolled School Name","Building Capacity","Other Programs on Site","Total Enrollment","Total Catchment Size","# Students Attending Neighborhood School","Enrollment:Catchment Ratio","% Staying in Catchment (of Catchment)","% From Within Neighborhood (of Enrollment)"
"2021-2022","Charter","Charters","Elementary-Middle","3337","Global Leadership Academy","-","-","664","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle","3341","Independence Charter School","-","-","787","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","High","3353","KIPP DuBois Charter School","-","-","526","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary","3357","West Phila Achievement","-","-","641","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","High","3358","Phila Electrical & Technology","-","-","630","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Middle","3359","Allen, Richard Prep","-","-","394","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle","3360","Byers, Russell Charter","-","-","721","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Middle-High","3361","Mastery Charter at Lenfest","-","-","587","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle","3362","Wissahickon Charter School","-","-","949","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle-High","3364","First Phila Prep","-","-","1815","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle","3365","Green Woods Charter School","-","-","680","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle-High","3366","Maritime Academy Charter","-","-","831","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle-High","3368","Belmont Elementary Charter","815","N","948","548","317","1.73","57.85%","33.44%"
"2021-2022","Charter","Charters","Elementary-Middle","3370","KIPP Charter School","-","-","850","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle","3372","Discovery Charter School","-","-","648","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary","3378","Philadelphia Montessori","-","-","213","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle","3379","Ad Prima Charter School","-","-","639","0","0","-","-","0.00%"
